Designator,Mid X,Mid Y,Rotation,Layer
C10,130.2766,-114.681,180.0,top
C11,130.048,-116.459,180.0,top
C12,126.4158,-119.3038,0.0,top
C14,119.7356,-105.537,180.0,top
C15,133.7818,-97.9678,180.0,top
C16,133.7818,-99.5426,180.0,top
C17,136.2456,-86.741,225.0,top
C18,153.416,-102.9208,45.0,top
C19,155.4734,-87.5792,90.0,top
C20,158.4706,-94.742,180.0,top
C21,166.5478,-91.0082,270.0,top
C22,130.4798,-121.8438,0.0,top
C23,121.412,-121.9962,0.0,top
C24,146.9644,-107.7976,0.0,top
C25,130.2766,-108.5596,180.0,top
C26,143.5354,-107.7976,180.0,top
C27,130.2766,-110.0836,180.0,top
C28,150.368,-104.6988,180.0,top
C29,150.3934,-120.9294,180.0,top
C3,150.368,-109.3724,0.0,top
C30,119.7356,-119.2276,180.0,top
C32,146.9644,-104.6988,180.0,top
C33,155.6258,-94.107,270.0,top
C4,150.3934,-117.9322,0.0,top
C5,126.7968,-105.537,0.0,top
C6,132.207,-105.029,180.0,top
C7,132.207,-103.5304,180.0,top
C8,132.207,-106.8578,0.0,top
C9,144.4498,-110.2868,270.0,top
D1,116.8878,-125.1322,270.0,top
D10,173.0502,-89.8652,180.0,top
D11,126.4666,-92.075,45.0,top
D12,124.7648,-90.5256,45.0,top
D2,162.8648,-94.7166,0.0,top
D3,133.7434,-82.288,180.0,top
D4,145.1226,-82.2532,180.0,top
D5,127.127,-95.1738,90.0,top
D6,129.54,-95.1484,90.0,top
D7,117.7798,-91.3384,180.0,top
D8,163.195,-101.1936,180.0,top
D9,163.2204,-102.9716,180.0,top
FB1,150.1902,-122.7328,0.0,top
J1,163.7284,-82.8802,0.0,top
J2,170.654,-98.4738,90.0,top
J3,112.6236,-98.171,180.0,top
J4,112.603,-114.7546,180.0,top
J6,166.3528,-113.7276,0.0,top
J7,112.5982,-84.3014,180.0,top
JP1,117.2464,-95.8292,0.0,top
JP2,117.2972,-109.6772,0.0,top
L1,126.5715,-121.8412,180.0,top
PS1,124.2893,-124.4118,180.0,top
R1,150.368,-110.9218,0.0,top
R10,120.1166,-111.0742,270.0,top
R12,138.023,-84.2866,180.0,top
R13,138.023,-82.7626,180.0,top
R14,138.023,-81.2386,180.0,top
R15,163.449,-99.1362,0.0,top
R16,163.449,-96.7232,0.0,top
R17,143.5354,-104.6988,180.0,top
R18,150.3934,-119.4308,180.0,top
R19,129.667,-87.2744,270.0,top
R2,150.3934,-113.0046,0.0,top
R20,131.2418,-87.2744,270.0,top
R21,149.2739,-84.1916,180.0,top
R22,149.2758,-82.693,180.0,top
R23,149.2758,-81.1944,180.0,top
R24,119.888,-85.6996,180.0,top
R25,150.368,-106.2482,180.0,top
R26,147.6502,-110.2868,270.0,top
R27,146.05,-110.2868,270.0,top
R28,143.5354,-106.2482,0.0,top
R29,146.9644,-106.2482,0.0,top
R3,150.3934,-114.5032,0.0,top
R30,150.368,-107.7976,0.0,top
R31,128.0922,-87.2744,270.0,top
R32,126.5174,-87.2744,270.0,top
R33,157.9626,-100.203,0.0,top
R34,157.9372,-101.8032,0.0,top
R35,119.888,-84.1502,180.0,top
R36,169.6231,-89.8652,0.0,top
R4,150.3934,-116.459,0.0,top
R5,132.207,-102.0572,0.0,top
R6,130.2766,-111.633,0.0,top
R7,130.2766,-113.157,0.0,top
R9,120.2436,-97.1946,90.0,top
SW1,156.7942,-82.169,0.0,top
U1,145.0086,-94.742,270.0,top
U2,123.063,-101.8906,90.0,top
U3,123.0884,-115.632,90.0,top
U4,160.8328,-89.5096,180.0,top
U6,137.3663,-112.2452,0.0,top
Y1,133.3178,-94.4056,90.0,top
Y2,136.1332,-105.0624,0.0,top
