Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C18, C2, C22, C23, C29, C3, C30, C31, C34, C5, C6, C7, C8, C9",0402,19,0.1u,
"C19, C28",0402,2,1u,
"C20, C21, C25",0805,3,10u,
"C24, C26",0603,2,1u,
"C32, C33",0402,2,18p,
"C35, C37",0402,2,4.7u,
"C36, C39",0402,2,10n,
"C38, C40",0402,2,6.8n,
C42,0402,1,22n,
"D1, D2",XL-1608RGBC,2,LED_ARGB,
"D10, D11, D5, D6, D7, D8, D9",0603,7,LED,
"D3, D4",SODFL3618X110N,2,D,
J1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,Conn_01x04,
J10,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J2, J3, J4",JST_XA_S04B-XASK-1_1x04_P2.50mm_Horizontal,3,Conn_01x04,
J9,RJ45_Bel_SI-60062-F,1,RJ45_Bel_SI-60062-F,
L1,0805,1,22u,
PS1,RFM-0505S,1,RFM-0505S,
R1,0402,1,10,
"R10, R11, R9",0402,3,120,
"R15, R16, R17, R18, R19",0402,5,PU,
"R20, R21, R22, R24",0402,4,49,
R23,0402,1,12.4k,
"R25, R26, R37, R38, R39, R40, R41, R42",0402,8,1k,
"R27, R28, R29, R30, R31, R32, R36, R43",0402,8,10k,
"R33, R34",0402,2,4.7k,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G473RCTx,
"U2, U3, U5",SOIC-8_3.9x4.9mm_P1.27mm,3,ISO1044BD,
U4,SOT-223-3_TabPin2,1,AZ1117-3.3,
U6,WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm,1,FT234XD,
U8,LQFP-48_7x7mm_P0.5mm,1,W5500,
Y1,CSTNE16M0V530000R0,1,CSTNE16M0V53C000R0,
Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25M,
