Designator,Mid X,Mid Y,Rotation,Layer
C1,221.6264,-88.7616,180.0,top
C14,250.9354,-73.9026,0.0,top
C15,223.6076,-90.2602,180.0,top
C16,238.3396,-81.8274,315.0,top
C17,226.427,-81.1162,90.0,top
C18,237.4252,-93.5876,0.0,top
C19,223.6076,-91.2508,180.0,top
C2,223.5822,-87.7456,0.0,top
C20,223.4438,-94.7674,90.0,top
C21,226.0092,-94.7522,90.0,top
C22,250.9608,-87.2122,0.0,top
C23,250.7094,-60.4914,0.0,top
C24,229.3874,-99.06,180.0,top
C25,258.1074,-103.6512,270.0,top
C26,239.7178,-100.4366,270.0,top
C28,242.302,-73.5216,270.0,top
C29,237.6538,-77.1792,270.0,top
C3,221.6264,-87.7456,180.0,top
C30,229.983,-73.9736,270.0,top
C31,227.9764,-73.9762,270.0,top
C32,244.9436,-72.15,45.0,top
C33,245.1468,-69.229,315.0,top
C34,235.6472,-77.1792,270.0,top
C35,228.967,-73.9762,270.0,top
C36,239.2286,-77.1538,270.0,top
C37,236.6632,-77.1792,270.0,top
C38,228.459,-71.4388,0.0,top
C39,228.4336,-68.213,180.0,top
C40,228.0018,-69.8894,90.0,top
C42,228.3828,-65.8,0.0,top
C5,250.3258,-82.6148,180.0,top
C6,249.3378,-94.3496,270.0,top
C7,249.16,-67.606,270.0,top
C8,212.457,-93.3082,0.0,top
C9,212.457,-96.534,0.0,top
D1,212.9904,-94.603,0.0,top
D10,218.8578,-103.8492,90.0,top
D11,241.413,-86.1454,180.0,top
D2,213.0158,-97.8294,0.0,top
D3,221.2594,-94.2594,90.0,top
D4,241.6482,-101.1862,90.0,top
D5,241.413,-96.7372,180.0,top
D6,241.3876,-94.2226,180.0,top
D7,246.4422,-97.9818,0.0,top
D8,246.4676,-95.4164,0.0,top
D9,241.3876,-88.787,180.0,top
J1,234.8992,-103.0732,180.0,top
J10,214.5992,-87.4388,270.0,top
J2,260.4767,-78.246,90.0,top
J3,260.4259,-91.835,90.0,top
J4,260.4953,-64.6824,90.0,top
J9,218.3232,-70.0462,270.0,top
L1,255.9738,-103.6156,270.0,top
PS1,248.9018,-100.4776,180.0,top
R1,228.4082,-66.8668,180.0,top
R10,252.716,-58.8892,270.0,top
R11,252.6398,-86.0946,270.0,top
R15,234.682,-63.26,270.0,top
R16,235.7234,-63.26,270.0,top
R17,236.7648,-63.26,270.0,top
R18,239.0762,-63.26,270.0,top
R19,242.7338,-67.324,180.0,top
R20,230.1748,-70.2564,90.0,top
R21,230.11,-67.2732,270.0,top
R22,229.094,-69.8894,90.0,top
R23,228.459,-72.4802,180.0,top
R24,228.4336,-64.2506,180.0,top
R25,228.459,-76.5442,180.0,top
R26,228.459,-75.5028,180.0,top
R27,238.6444,-96.7138,0.0,top
R28,240.6256,-92.5716,180.0,top
R29,249.2108,-97.9818,180.0,top
R30,247.2042,-93.9178,180.0,top
R31,240.6764,-90.438,180.0,top
R32,240.7272,-84.5706,180.0,top
R33,221.6518,-90.2602,0.0,top
R34,218.4748,-81.3702,180.0,top
R36,218.8578,-101.0806,270.0,top
R37,218.3498,-93.3082,0.0,top
R38,214.4382,-93.3082,0.0,top
R39,218.5022,-97.5754,0.0,top
R40,218.5022,-98.6168,0.0,top
R41,218.3752,-94.4766,0.0,top
R42,216.394,-93.3082,0.0,top
R43,232.0798,-99.3394,270.0,top
R9,252.6144,-72.5036,270.0,top
SW1,229.0236,-102.827,90.0,top
U1,231.4816,-87.4916,180.0,top
U2,252.7048,-78.1952,0.0,top
U3,252.7556,-91.581,0.0,top
U4,223.4946,-101.1428,90.0,top
U5,252.5128,-64.8094,0.0,top
U6,221.879,-84.2198,90.0,top
U8,236.46,-70.7022,270.0,top
Y1,232.4722,-78.4492,0.0,top
Y3,243.770734,-70.646283,45.0,top
